note_id,file_name,folder_path,canon_text,conditional,cui,hof,imputed_time,location,location_snomed_id,negated,offset_end,offset_start,range_text,vocab_term,vocab,value
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,210,195,Crohn's Disease,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Hypertensive disease,f,C0020538,f,na,null,null,f,223,220,HTN,38341003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Glycogen Storage Disease Type VI,f,C0017925,f,na,null,null,f,657,638,her Crohn's disease,29291001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,1726,1719,Crohn's,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,1802,1787,Crohn's disease,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,2015,2008,Crohn's,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,2639,2624,Crohn's disease,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Adenocarcinoma of ileum,f,C0582430,f,na,ileum,34516001,f,2688,2656,Adenocarcinoma of terminal ileum,304545002,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Symmetrical dyschromatosis of extremities,f,C0406775,f,na,Distal part of ileum,85774003,f,2732,2729,rad,239085000,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Small bowel obstruction,f,C0235329,f,na,Intestines,113276009,f,2783,2760,small bowel obstruction,281255004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,2812,2797,Crohn?s Disease,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Hypertensive disease,f,C0020538,f,na,null,null,f,2819,2816,HTN,38341003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Deep Vein Thrombosis,f,C0149871,f,na,null,null,f,2823,2820,DVT,128053003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Gastroesophageal reflux disease,f,C0017168,f,na,null,null,f,2844,2840,GERD,698065002,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Chronic Obstructive Airway Disease,f,C0024117,f,na,null,null,f,2849,2845,COPD,13645005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Post-Traumatic Stress Disorder,f,C0038436,f,na,null,null,f,2879,2850,Posttraumatic stress disorder,47505003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Bipolar Disorder,f,C0005586,f,na,null,null,f,2896,2880,Bipolar disorder,13746004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,"Osteoarthritis, Knee",f,C0409959,f,na,Joints,39352004,f,2951,2929,osteoarthritis of knee,239873007,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Nicotine Dependence,f,C0028043,f,na,null,null,f,3033,3014,nicotine dependence,56294008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crohn Disease,f,C0010346,f,na,null,null,f,4462,4455,Crohn?s,34000006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Falling injury,f,C1301836,f,na,Lower back structure,37822005,f,4531,4520,fall injury,398117008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Degenerative polyarthritis,f,C0029408,f,na,null,null,f,4550,4536,osteoarthritis,225655006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Schizophrenia,f,C0036341,f,na,null,null,f,5082,5069,Schizophrenia,58214004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Diabetes Mellitus,f,C0011849,f,na,null,null,f,5138,5130,diabetes,73211009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Hypertensive disease,f,C0020538,f,na,null,null,f,5168,5165,HTN,38341003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,leukemia,f,C0023418,f,na,null,null,f,5200,5192,leukemia,87163000,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Anorexia,f,C0003123,f,na,null,null,t,5252,5244,anorexia,79890006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Deglutition Disorders,f,C0011168,f,na,null,null,f,5493,5484,dysphagia,288939007,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Paroxysmal nocturnal dyspnea,f,C1956415,f,na,null,null,f,5588,5585,PND,55442000,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Incontinence,f,C0021167,f,na,null,null,t,5704,5692,incontinence,48340000,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Arthritis of knee,f,C0240111,f,na,Knee,304679005,f,5783,5761,arthritis in left knee,371081002,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Traumatic injury,f,C3263723,f,na,Lower back structure,37822005,f,5828,5822,injury,19130008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Swelling of skeletal muscle,f,C0281913,f,na,Muscle,71616004,f,5880,5864,"swelling, muscle",298280009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Paresthesia,f,C0030554,f,na,null,null,f,6051,6039,paresthesias,91019004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Mixed anxiety and depressive disorder,f,C0338908,f,na,null,null,t,6129,6110,"depression, anxiety",231504006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Memory impairment,f,C0233794,f,na,null,null,f,6162,6131,"memory loss, mental disturbance",386807006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Hallucinations,f,C0018524,f,na,null,null,f,6198,6184,hallucinations,7011001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Paranoia,f,C1456784,f,na,null,null,f,6208,6200,paranoia,191667009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Common Cold,f,C0009443,f,na,null,null,f,6231,6227,cold,82272006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Contusions,f,C0009938,f,na,null,null,t,6327,6319,bruising,125667009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Urticaria,f,C0042109,f,na,null,null,t,6398,6389,urticaria,247472004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Hay fever,f,C0018621,f,na,null,null,t,6409,6400,hay fever,444316004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Persistent embryonic structure,f,C0332996,f,na,null,null,f,6421,6411,persistent,31807009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Infections of musculoskeletal system,f,C0851162,f,na,null,null,f,6432,6422,infections,312154004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,HIV Infections,f,C0019693,f,na,null,null,f,6437,6434,HIV,86406008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Injury due to exposure to external cause,f,C0274281,f,na,null,null,t,6446,6438,exposure,71677004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Obesity,f,C0028754,f,na,null,null,f,6633,6628,Obese,414916001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Congenital Abnormality,f,C0000768,f,na,null,null,t,6921,6910,deformities,276654001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Congenital Abnormality,f,C0000768,f,na,null,null,t,6970,6959,deformities,276654001,SNOMEDCT_US,na
