note_id,file_name,folder_path,canon_text,conditional,cui,hof,imputed_time,location,location_snomed_id,negated,offset_end,offset_start,range_text,vocab_term,vocab,value
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Triacetoneamine-N-Oxyl,f,C0040854,f,na,null,null,f,850,847,tan,10757,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Water,f,C0043047,f,na,null,null,f,1261,1256,water,11295,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Prednisone,f,C0032952,f,na,null,null,f,1507,1497,prednisone,116602009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Prednisone,f,C0032952,f,na,null,null,f,1659,1649,prednisone,116602009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,mesalamine,f,C0127615,f,na,null,null,f,2053,2043,mesalamine,52582,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,mercaptopurine,f,C0000618,f,na,null,null,f,2069,2055,mercaptopurine,1039008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Omega-3 Fatty Acids,f,C0015689,f,na,null,null,f,2082,2075,omega-3,4301,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Fentanyl,f,C0015846,f,na,null,null,f,2169,2161,fentanyl,373492002,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,"Sulfates, Inorganic",f,C0038720,f,na,null,null,f,2242,2235,sulfate,95975008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Cocaine,f,C0009170,f,na,null,null,f,2486,2479,cocaine,14816004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Nicotine,f,C0028040,f,na,null,null,f,3022,3014,nicotine,373462006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Cymbalta,f,C1505021,f,na,null,null,f,3066,3058,Cymbalta,482574,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,fluticasone furoate,f,C1948374,f,na,null,null,f,3100,3081,Fluticasone furoate,426409006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Nasal Spray,f,C0461725,f,na,null,null,f,3112,3101,nasal spray,385157007,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Albuterol,f,C0001927,f,na,null,null,f,3138,3129,albuterol,435,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Aerosol Dose Form,f,C1112870,f,na,null,null,f,3157,3150,aerosol,52262001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Lovaza,f,C0912903,f,na,null,null,f,3175,3169,omacor,278346,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,mesalamine,f,C0127615,f,na,null,null,f,3197,3187,mesalamine,387501005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Pentasa,f,C0678171,f,na,null,null,f,3205,3198,pentasa,196495,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Ambien,f,C0487782,f,na,null,null,f,3224,3218,Ambien,131725,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,fluticasone / salmeterol,f,C0939232,f,na,null,null,f,3266,3244,fluticasone/salmeterol,411106009,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Advair Diskus,f,C0939246,f,na,null,null,f,3281,3268,Advair diskus,284649,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Invega,f,C1828935,f,na,null,null,f,3337,3331,invega,686438,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Metformin,f,C0025598,f,na,null,null,f,3371,3362,metformin,6809,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,gabapentin,f,C0060926,f,na,null,null,f,3410,3400,gabapentin,108402001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,"Estrogens, Conjugated (USP)",f,C0014938,f,na,null,null,f,3444,3422,conjugated g-estrogens,16832004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Premarin,f,C0699710,f,na,null,null,f,3454,3446,premarin,202896,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Lisinopril,f,C0065374,f,na,null,null,f,3479,3469,lisinopril,29046,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Nexium,f,C0939400,f,na,null,null,f,3520,3514,nexium,284799,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Clonazepam,f,C0009011,f,na,null,null,f,3542,3532,clonazepam,387383007,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Penicillin,f,C0220892,f,na,null,null,f,3576,3566,Penicillin,70618,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Morphine,f,C0026549,f,na,null,null,f,3614,3606,morphine,373529000,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Contrast Media,f,C0009924,f,na,null,null,f,3644,3636,Contrast,407935004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Purified Protein Derivative of Tuberculin,f,C0034131,f,na,null,null,f,3943,3940,ppd,8948,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Ethanol,f,C0001962,f,na,null,null,f,4070,4063,alcohol,419442005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crack Cocaine,f,C0085163,f,na,null,null,f,4123,4118,crack,229003004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Cocaine,f,C0009170,t,na,null,null,f,4131,4124,cocaine,2653,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Crack Cocaine,f,C0085163,f,na,null,null,f,4210,4205,crack,229003004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Illicit Drugs,f,C0086190,f,na,null,null,f,4280,4267,illicit drugs,77657003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Vision Eye,f,C0724297,f,na,null,null,f,5360,5344,"vision loss, eye",220842,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Heme,f,C0018966,f,na,null,null,f,6300,6296,Heme,57813001,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Oxygen,f,C0030054,f,na,null,null,f,6576,6570,Oxygen,24099007,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Rectal Dosage Form,f,C1272938,f,na,null,null,f,8173,8167,Rectal,385289005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Guaiac,f,C0018302,f,na,null,null,f,8214,8208,guaiac,1373150,RXNORM,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Blood Urea Nitrogen,f,C0600137,f,na,null,null,f,9222,9219,BUN,72341003,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Aspartate Transaminase,f,C0004002,f,na,null,null,f,9328,9325,AST,26091008,SNOMEDCT_US,na
